indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2024-9-01,patagonia,no residentes,34733,
2024-9-01,patagonia,residentes,52505,
2024-9-01,patagonia,total,87238,
2025-1-01,patagonia,no residentes,107725,
2025-1-01,patagonia,residentes,243929,
2025-1-01,patagonia,total,351654,
2025-10-01,patagonia,no residentes,69819,
2025-10-01,patagonia,residentes,112166,
2025-10-01,patagonia,total,181985,
2025-11-01,patagonia,no residentes,101304,
2025-11-01,patagonia,residentes,101611,
2025-11-01,patagonia,total,202915,
2025-12-01,patagonia,no residentes,112301,
2025-12-01,patagonia,residentes,80511,
2025-12-01,patagonia,total,192812,
2025-2-01,patagonia,no residentes,91326,
2025-2-01,patagonia,residentes,156785,
2025-2-01,patagonia,total,248111,
2025-3-01,patagonia,no residentes,79179,
2025-3-01,patagonia,residentes,128244,
2025-3-01,patagonia,total,207423,
2025-4-01,patagonia,no residentes,36680,
2025-4-01,patagonia,residentes,72827,
2025-4-01,patagonia,total,109507,
2025-5-01,patagonia,no residentes,16041,
2025-5-01,patagonia,residentes,45531,
2025-5-01,patagonia,total,61572,
2025-6-01,patagonia,no residentes,16962,
2025-6-01,patagonia,residentes,39177,
2025-6-01,patagonia,total,56139,
2025-7-01,patagonia,no residentes,31576,
2025-7-01,patagonia,residentes,74422,
2025-7-01,patagonia,total,105998,
2025-8-01,patagonia,no residentes,33266,
2025-8-01,patagonia,residentes,62006,
2025-8-01,patagonia,total,95272,
2025-9-01,patagonia,no residentes,44184,
2025-9-01,patagonia,residentes,81807,
2025-9-01,patagonia,total,125991,
2026-1-01,patagonia,no residentes,125583,
2026-1-01,patagonia,residentes,209021,
2026-1-01,patagonia,total,334604,
2026-2-01,patagonia,no residentes,117126,
2026-2-01,patagonia,residentes,166725,
2026-2-01,patagonia,total,283851,
2026-3-01,patagonia,no residentes,99105,
2026-3-01,patagonia,residentes,100683,
2026-3-01,patagonia,total,199788,
2026-4-01,patagonia,no residentes,48167,
2026-4-01,patagonia,residentes,69084,
2026-4-01,patagonia,total,117251,
